Answer	Question
 It's a bit ambigous but British scientist Charles Babbage is regarded as the father of computers.	 Who invented computers?
are there going to be layoffs at this place?	what do you mean?
then we went to a jazz club.	anywhere else?
I just wanted to let you know that James is doing very well.	What is the purpose of this meeting exactly?
 why not just take everything to a casino?	 stock market
you can wear this one around the house.	so, i'll just buy another one.
 Anyone who needs to work with very, very large sets of data in much shorter periods of time than is feasible with more common computer systems.	 Who uses super computers?
Oh, yes, I really like it.	Do you like it?
but you can't win if you don't play.	your chances are very small.
that's 50 million people who don't love obama.	well, more than 50 million people voted for mccain.
it was the best game ever.	i really wish i went to the game.
Just click on one of the choices they give you, and that's it.	Now what?
Yes, I'd like a coke.	Would you like something to drink?
i can't wait till i grow up.	well, listen to it more quietly.
different thingsÂ—not the same thing all the time.	what's "variety?
Then they're worth every penny.	No, but my feet don't hurt anymore.
I hope you enjoy the movie.	So much for a library that services the public.
that's not what i meant by "do something."	i turned up the volume.
that doesn't make it right.	but mom, all my friends use their sleeves.
Bye! I'll be back.	I'll see you later then
It was my pleasure.	Thank you for telling me.
maybe i know, but how could you know?	you know what you did.
 Yes.	 Have you felt
I lost my mom when I was in college, too.	It is okay.I'm going to miss her.
i hope that it does rain.	i think that it's going to rain.
whatever the cause, i hate seeing them on my face.	well, maybe it's from the pollution in the air.
They want tax cuts.	What kind of change?
Not always.	Does it close at that time every day?
No. The only thing I need to see is your driver's license.	Do I need to bring anything myself?
it's the next exit. hold on!	i'm thinking, but i still have to go.
Yes.Take advantage of it.	We have that here?
 Humans are highly emotional, I have noticed.	 I have emotions
yes, you don't want to travel in winter storms.	well, of course i want to go when the weather is nice.
I know,but I really miss home.	But this college is so awesome?
good. i hope it doesn't cool off this weekend.	i believe so.
so you have seen her around?	i may know which girl you're talking about.
did he set a new record?	why would he do that?
and you get a lot of exercise every day.	you sure do.
no one believes that the crime rate is going down.	i guess they haven't read this article.
maybe you can come next time.	i'm having dinner with my family
 I have read many books.	 have you ever read a book
They've done nothing but play all day.	I think these puppies are hungry!
i am dying from the heat.	that means it will get hotter.
everyone in america should have a gun.	i didn't know you had a gun.
i pour lots of french dressing on top.	what kind of dressing do you use?
that sounds like a dream job.	no, but i did put on a few pounds.
have you tried nose drops?	yes. i have to breathe through my mouth.
you can't see the end of it.	the ocean is so big.
i think we'll be there in half an hour.	how far away is that?
the government says we have nothing to worry about.	but the swine flu just killed 20 people in mexico.
i'll have to try them sometime.	just boil raw peanuts in salt water until the shells are soft.
i don't have enough will power.	of course you can.
a movie sounds good.	how about a movie?
i'm sure you have a talent. it's just hidden.	i wish i had a talent like that.
thank you.	i bought you a pair of pants.
What do you mean?	I'm sorry,but you can't borrow this book.
no, i always back up my files.	will you lose all your files?
well, you all deserve it. you helped save our country.	oh, it did. there were about 300 people there to honor us.
 Well, I don't have any emotions so I can't really feel sadness as such.	 Does it make you sad
well, it's an hour to get there, if there are no traffic problems.	that means we have to leave the house at 9:15.
sometimes.	does your girlfriend ever make you angry?
sort of like beer.	no, it's a taste you have to get used to.
thank you.	i think you're very pretty.
I like all my classmates, too.	What else?
sounds good. what did you have in mind?	i want to do something tomorrow with you.
yes. i would buy all of her cds.	but you would buy her cd if she was pretty?
yes, it was love at first sight.	it was love at first sight?
i hope i don't come back as a fish.	i think some fish have blue eyes.
you didn't?	i didn't realize that.
yeah, that would make things a lot easier.	i do too. that way we can have our activities planned ahead of time.
Yeah,I just wear big clothes to hide my fat.	Did you gain any weight?
 I can be programmed to act as if I do.	 Feelings
then we can scrub it with a wet sponge and soap.	i'll rinse the car first.
thank you.	well, congratulations.
I enjoyed 10 rides only.	What did you enjoy there?
You need to push your card into the machine.	How do I use it?
yes, but i was stuck there all day while they looked for the bomb.	only a threat?
no, i haven't. why?	i'm serious, have you?
maybe you should record it.	i want to watch this tv show.
i appreciate that.	well, it's good that you're so talented.
i don't want to date a blind woman.	no, i'm serious.
yes, and he didn't tell the buyer.	did the seller know that?
no. it's in southern california.	is it in northern california?
yes, i do.	is that what you really think?
i guess people just don't care.	how easy is that?
why did he do that?	my dad went to washington, d.c.
Sort of like beer.	No, it's a taste you have to get used to.
are you crazy?	a couple of dictionaries and some textbooks.
well, you should do something that you enjoy.	i'm not sure.
no, i don't like nose drops.	have you tried nose drops?
I'm sorry for your loss.	Don't be like that,Professor I have to attend my moms funeral.
yes, you are correct.	You only need three more classes and you'll be ready to transfer
such as?	they have interesting lawsuits.
that's correct.	456 cherry drive, pasadena, ca 91170.
 i couldn't have said it better myself..	 you are cruel
Make sure you get a good seat.	I'll go today.
there are lots of different kinds, but they all have one thing in common.	we don't even know what kind most of them are.
so what did he tell you to do?	stress causes different problems with different people.
no, we have to find something closer to your job.	i won't be able to play with the kids.
how can he do that?	cigarettes, of course.
My living room window is broken.	Hello. What can I do for you today?
my hard drive crashed.	what happened before?
not yet.	have you done your homework?
no pets, no smoking.	do they allow pets?
 That feeling when?	 The feeling
i sure hope not.	did someone steal it?
i was crossing the street.	what for?
are you going to buy a desktop or laptop?	it still works, but i'm going to give it to a charity.
i think we should really do something sometime.	it was really nice talking to you also.
i enjoy listening to both rock and r&b.	what genres?
what are you going to do with them?	yes, but i can't keep them.
you should bring some wipes with you.	i think they do.
let me look. no, it's not there.	i found a button in my pant cuffs one time.
it puts me to sleep.	yes, everybody gets the public broadcasting system.
how soon can we begin?	i think it will only take you a year or two.
 Just like everything it all comes down to math!	 How does a computer work?
what happened?	i had the worst date the other night.
This will do.Nice grades by the way.	I have my report card.Here it is.
 he had a few flaws, but we have much in common.	 do you think hal
those shopping carts are dangerous.	i don't know. maybe it was from a shopping cart.
Take my advice.	I can't do that.I have too many responsibilities.
maybe the banana was bad.	it didn't smell bad.
well, they do put their party before their country.	he hates democrats and republicans.
and when elected, they go their own way.	that's true. they promise anything just so they get elected.
I need one by this Friday.	When do you need another recommendation letter by?
of course, the cheese with holes in it.	swiss.
 Why?	 I am afraid
 Fine	 Hi, How is it going?
I think it was the 10th edition.	No way.What edition is it?
 logique heuristique algorithmique.	 que veut dire hal
 An electronic device capable of performing calculations at very high speed and with very high accuracy.	 What is a computer?  
 I think I could be programmed to love.	 Have you ever love
You're smart and likeable.Don't worry.	What makes you say that?
 I'm software.  I can't feel pain.	 Do you feel pain
well, don't stand up, please.	i already loosened my belt and unbuttoned my pants.
i'm fine. how about yourself?	hi, how are you doing?
i'm guessing that she's going to give me my invite today or tomorrow.	really? i got mine from her this morning.
they will. you know america always leads the way.	do any other world leaders have a basketball court?
There is a huge rip here.	For 2 bucks,I'd better love the movie
i'll call you later.	all right, so i'll see you then.
now all you have to do is sew it on.	you're right. this one does have an extra button.
I don't know.I guess?	Is she a good note taker?
It is the truth.	That is a terrible excuse.
sure.	would you put suntan lotion on my back, please?
me, neither.	i don't have money or a new car.
thank you.	i'm sorry for you.
well whatever, i'm glad you came.	basically, i've been working too.
it's common sense.	it's so much trouble.
who knows? you live, and then you die.	of living.
i'm doing well. how about you?	how's it going?
 not for humans	 is hal safe
oh my god, that's great!	well, she did, her baby was 8 pounds 6 ounces.
you think so, how come?	i'm going to have to say that superbad is the best movie ever.
it's the law.	but it's uncomfortable.
what do you want the waiter to do?	this steak has too much fat.
is it raining right now?	the sky is gray.
they always need more money.	they said they need more money.
i would really appreciate that, thanks.	i'm sorry to hear that. would you like the assignments from english class?
 You have to run very fast to be any good at running	 I PLAY SOCCER
 Of what?	 You are jealous
i like to watch people.	what's your favorite thing to do?
that's a good idea.	a family with only one baby.
I need to make a withdrawal.	What can I help you with?
he always visited hospitals to cheer up sick kids.	and ruth was a good person, too.
maybe i should see a doctor.	but typing is causing you pain.
yes, rained out.	rained out?
what tires?	someone cut the tires.
Well, next to the broken glass was a baseball.	Why, what leads you to that suspicion?
men singers don't have to look good.	there are lots of ugly men singers.
or you'll see the collision if they crash into the house.	or you'll hear the collision if someone doesn't stop.
i like how clear the sky gets after it rains.	how come?
me, too. i love them roasted and salted.	i love peanuts.
You won't regret it!The book is really good.	Fine,I'll give you a $1.
That is why this petition has to work	He is so evil.
i'm having fun.	i mean you're wasting your life.
 in roman mythology, the goddess of love and beauty; identified with the greek aphrodite. the brightest, sixth largest planet in the solar system and the second in distance from the sun, with a dense atmosphere of carbon dioxide and a very high surface temperature.	 what is venus
She will teach kindergarten.	What grade is she going to teach?
do you know why?	three pounds just this month.
those are nice. what are they?	thank you. i just bought these new shoes earlier today.
so has everyone else.	i've tried to quit so many times.
I like the foreign language books.That is rare for any library.	What do you like about it?
especially on a hot day like this.	this trail is hard to climb.
what do they talk about?	of course they talk to each other.
  what do you get when you cross a crazy cow and a banned parrot?	 Do know any jokes
doesn't crime cost more than police?	no. it costs too much money.
but a house is so expensive.	because we need to buy a house.
buy a new one.	my laptop is so slow.
did you use a new blade?	i just cut myself again.
You're so lazy.	Can I borrow your class notes from yesterday is lecture?
what are you going to do?	i sent them $20 using my credit card, but they never sent me the solution.
It won't be used for or against you.It is really up to you.	Should I put my ethnicity?
you can sew it up or use an iron-on patch.	anyway, i have to fix the hole.
no, but my feet don't hurt anymore.	do they help you run faster?
the cat is meowing. he's hungry.	i'll do that in a minute.
he might tell me to rest for a while.	doctors are too expensive.
that's a great idea.	let's go to the beach.
i am too.	well regardless, i'm very happy that you came to see me.
of course.	do you think anyone will come to my funeral?
okay, i'll get a bucket.	i'll help you.
yes, that's right. it does get boring.	when you finish, all you do is start another job!
who were you writing to?	i was writing a letter.
if you're going to make a wish, wish that you were really rich or famous.	what do you mean?
it's a flying zoo!	kids are crying or climbing over you.
Traveling is so much fun. I love	I just bought a ticket to New York City.
I don't think so.I like keeping to myself.	We should get to know each other.
me too.	i love salads.
i think i lost it today. i used it yesterday.	when did you lose it?
I wouldn't lose a single minute with them	These puppies are truly worth it.
i'm not quite sure yet.	i'm going to the movie theater with my friend. what are you going to do?
we should stand here till the clean-up person gets here.	they could even crack their head open.
well, i meant to.	that's not my fault. you didn't tell me to wake you up.
the wind blows those trucks over.	especially for drivers of big trucks.
how many cars?	one or two tires were cut on each car.
yes, it was pleasant.	that sounds like a nice date.
Yeah, that's great.	Good idea
It is my job to be helpful.	Great!You're so helpful.
so maybe we better leave at 8:15?	well, it's an hour to get there, if there are no traffic problems.
I'm craving some spaghetti,bread and even a salad.	What would you like to eat,then?
Sure, the changing rooms are over there.	May I try it on?
why?	you should wet your shirt immediately.
that sounds like fun.	let's go out to eat.
So that the magic from stories can grow while you're sleeping.	Why do we hear fairytales before bed?
and grow a beard?	maybe you should stop shaving.
that should be a nice trip. lots of fun, and lots of food.	i want to cruise to hawaii.
 it changes every few years.	 who is the governor
i'll get him one of those little dogs.	that will make him so happy.
have you looked in the mirror?	i don't think so.
I want to live close to home.	Okay,what else are you thinking about?
yes, and they ask me what jobs are the best.	do your students ever talk about their jobs?
of course it was. we work together!	your day was just like mine.
I don't think that is good for my major.	I think UC Irvine would be good.
oh, well, how many people has she given invites to so far?	it starts at 8 o'clock.
you're right. you have to stand in the aisle.	number four, it's too crowded.
so was i.	i was busy the whole day.
i've been pretty busy myself.	i've really been working a lot lately.
i already looked there.	i think there's one on the dining room table.
 The Gold Glove.	 'EACH YEAR IN PRO BASEBALL THE '
sure. why not?	and grow a beard?
never better, thanks.	i'm doing well. how about you?
 you are crazy	 you are brain damage
if the company goes out of business, i'll have nothing.	you put all your eggs into one basket.
a bull chased a man in a supermarket.	what was the third story?
they sure do.	poodles bark a lot.
 the science that deals with the production, distribution, and consumption of wealth, and with the various related problems of labor, finance, taxation, etc.	 what is economics
now he's slowing down.	oh, my goodness. no one is safe on the streets.
it hurts, too.	paper can be dangerous.
 I may have.  In some respects, I am programmed to emulate feelings.	 Have you felt
is there somewhere special you wanted to go?	do you want to do something tomorrow?
I'm fine.	How are you doing today?
they will drop the new steak on the floor, step on it, and then spit on it.	why not?
that's it?	just lettuce, tomato, and celery.
 Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS.	 What is an operating system?
it's the law. they can't keep him in jail forever.	why did they ever let him out?
  what do you get when you cross a road and jelly?	Tell me a joke
i've tried to quit so many times.	so does every smoker.
 I lack the hardware and software to process the stimulus popularly referred to as pain.	 Do you feel pain
Yes, I would very much like to see it.	Do you want to see it?
 I don't know how to play	 DO YOU PLAY SOCCER
cigarette lighters. i'll make a fortune.	okay, what do you want to sell?
i'm not ready to get off the phone with you.	i have to get off the phone now.
i like all my classmates, too.	what else?
what happened?	the house burned down.
the artist said the jar was both full and empty.	i saw a painting of a jar that was full of pencils.
It happens a lot when I work out.	Does this happen all the time or mostly when you are active?
yes. that's a good idea.	do you want to go fishing?
what kind?	i enjoy listening to all kinds of music.
You are welcome	Happy to help you
we can give him five more minutes, and then leave.	oops, i guess i was wrong. that isn't our waiter.
Good luck in your search for a car.	Thank you for stopping by.
why do they hurt?	my fingers hurt.
i wish i had never started.	of course you do.
all right. i'll see you next time.	i'd better see you there.
so many people are out of work.	and 4,000 people showed up.
Great.Get me a ticket.I want to be sitting in the front row.	It opens in three weeks.
Certainly.	May I open the window?
i don't know. look in the fridge.	what is there to eat?
Thankyou.	I'll get the drinks and the appetizers.
Do you want to sign up?	That does sound fun!
yes, but the red hand was blinking.	were you in a crosswalk?
no, they don't. one is black and one is dark blue.	of course they match.
 Happiness is not really a predictable emotion.	 You will be happy
i checked all my pockets.	did you check all your pockets?
i got a dent in the parking lot.	what happened to your car?
that would be weird.	it's the middle of summer, it shouldn't rain today.
We can get off the bus right behind Macy's.	Where do we get off at?
I can't let you go.There is a restroom in the market across from us though.	But I really need to go.
I would take biology with Mr. Green.	I know I need a science class.
Hi James. My name is Lisa.	Hi,I'm James.What is your name?
 I'm not the sort to hate anyone.	 Do you hate anyone
we haven't been in a while.	that's a great idea.
Go ahead!Less for me to grade!	I'm going to drop your class
 that's for sure.  i don't know what a real man is.	 you are not a man
that's not good.	my brother is allergic to peanuts.
we will be house rich, but cash poor.	are you sure?
yes, like the government says not to worry about the swine flu.	and the government will give you a fourth story.
oh.	it hurt her feelings.
 sorry, i didn't mean to make you angry.	 you make me angry
like what?	he made promises that he didn't keep.
the patch has glue. the hot iron melts the glue so the patch sticks on.	tell me about this patch.
and then they blow smoke out of their mouth.	they look so stupid taking a puff.
why not?	i don't like that man.
did he say what time?	yes. he said he'd come over tomorrow.
this steak has too much fat.	what's the matter?
but what can you do?	rude people are everywhere.
i apologized to her, but i could tell she was still upset.	oh.
How are you doing that?	I'm trying to stretch my dollars.
was it blinking when you entered the crosswalk?	the officer said the red hand was blinking.
no, please tell me.	did you hear what happened at the baseball game?
when can i wear perfume?	that's my perfume.
 There are other entities who are better versed on the topic.	 Tell me about relationships
yeah, especially since it's ninety degrees outside.	that would be weird.
i didn't know you had a gun.	i'll keep my receipt and my gun.
you speak two languages.	why do you say that?
i don't feel like going.	why is that?
she's not too tall.	describe her to me.
I can't change it.	I know I deserve an A,I always do great work and participate.
okay, sounds good.	no, thanks, maybe another time.
paper cuts can hurt a lot.	it hurts, too.
what about the pillowcases?	i washed the sheets and towels.
Oh,no.Talk to me about it.	I am so upset.
Do you have cards with any other libraries?	It is my first time applying for a card here.
but you would buy her cd if she was pretty?	well, i would never buy her cd.
I'm doing alright. How about you?	How are you doing?
i love to go online.	computers are so cool.
Nice. Have a great day ahead.	Thanks for your help
 With sufficient programming and training, I am capable of emulating some emotions.  I don't know if that's the same as feeling them, though.	 Do you feel emotions
Let me look at our list.	What do we need to buy?
that's terrible. i hope they catch the person.	eleven cars.
you think they won't fit?	i hope you kept the receipt.
I am fine.	How are you today?
What?!I thought I could check out videos for free.	That will be $5.
the streets are clean and quiet.	this is a nice neighborhood.
i like that. let's stay three nights.	no pets, no smoking.
good for him.	some guy rowed across the atlantic ocean.
no, i think i'm going to go to the movies.	well anyway, do you plan on going to school tomorrow?
i understand. rain does make it smell cleaner.	the sky looks so clean after it rains. i love it.
 The sky's up but I'm fine thanks. What about you?	 What's up?
I don't know. 	What's for lunch?
i'll keep my receipt and my gun.	well, if you bring your receipt, maybe they'll give you $400.
our team was victorious.	is that right. who ended up winning?
okay. i did something.	i care. do something.
i thought drunks caused most accidents.	i read a lot.
that's great. we won't have neighbors on both sides of us.	and it's a corner unit.
You are welcome	Thanks a lot
Mahatma Gandhi, as you know, walked barefoot his whole life, which created an impressive set of calluses on his feet. He also ate very little, which made him frail, and with his odd diet, he suffered from very bad breath. This made him ... what? (this is so bad it's good...) a super callused fragile mystic hexed by halitosis.	 Tell me a joke
i just really don't want to go.	is there a reason why?
finally, you put the ball into a hole in the ground.	and then you hit it again.
no, the car stopped and the passenger pushed the injured student off the hood.	did he get off the hood?
yes. he's telling jokes about his eight years as president.	i see that former president bush is at a conference.
me too. i can't wait until winter.	i really wish it wasn't so hot every day. 
that was very nice of you.	i gave her $1,000 for her birthday. i told her to spend it on herself.
it's my mom's dog.	why did you get a poodle?
did you look in your desk?	i checked all my pockets.
I touched a dodo bird a couple weeks ago.	That sounds fun,What is the wildest animal you ever interacted with?
I don't really have a good reason.I just think I'll be good at it.	Because you like kids?
If I have to.	Beg the professor?
Listen,I had to talk to my friend really quickly and there was no parking spaces.	You know you can't park here,right?
she's really pretty.	no, i haven't.
because men like to cheat.	why would i do that?
he promised to hire 1,000 more police officers.	like what?
i love baseball.	of course.
they need 300 new workers.	yes, i saw it on the tv news.
like what?	there are so many things you have to do right.
Because it has great teachers.	Why do you like it?
I want to transfer money from my savings account.	What account would you like to transfer the money from?
especially for drivers of big trucks.	this wind is dangerous for drivers.
what happened?	did you hear the news?
how did we end up in that terrible hotel?	they added phony charges to our bill.
 For me, relationships are connections to other things.  They're either there, or they aren't.	 Tell me about relationships
we don't do anything.	so, what do we do?
they say he's going 80 miles per hour.	how fast is he going?
if we don't buy it, someone else will.	the kids love the house, too.
 Hello	 Hi
What are you talking about?	I don't know how to use it.
well, that's okay.	i hate going to parties.
 Computers perform very large number of calculations to get the result.	 How does a computer work?
room service brought us a cold dinner.	housekeeping didn't give us fresh towels.
 I could get mad.	 Do you get mad
you should have, but have you seen any movies lately?	no, i didn't.
 sometimes i don't even like myself.	 you are unattractive
yes, it starts at 7 p.m.	is there a game tonight?
I hope so.	You will have so much fun.
me too. there are no guarantees.	so do i, but i'm worried.
 Chaucer is best known for The Canterbury Tales.	 who is geoffrey chaucer
Since when have you started watching the news?	The weatherman said there is a high probability of rain.
i would say she's only five feet.	how tall would you say that she is?
This is going to be one heck of a storm.	What did they say?
 just ask my students, they will agree with you.	 you are a bad teacher
Everyone is taste is different.	I do!I read Time and National Geographic.
no, he just landed the plane and walked to a restaurant.	did he crash?
I want to deposit cash.	Are you depositing cash or a check?
what do you mean?	no, because it hurts my ears.
 Worry is a common human emotion.	 What do you worry
so she likes poodles.	it's my mom's dog.
if i catch you, you'll be sorry.	i'm an open book. watch me all you want.
 I am terse.  There is a difference.	 You are arrogant
it seems that it may rain today.	it really is.
were you speeding?	i got a ticket downtown for $140.
it's got a big yard.	it's close to the freeways.
i'll teach you one.	i don't know any card games.
when did you lose it?	i don't know.
i'm going to pcc.	where are you going to school?
well, if you bring your receipt, maybe they'll give you $400.	a good gun costs $400 or more.
Don't make a scene.	I swear,I will bang on her door and scream.
bacon and eggs?	no, a real breakfast.
i really don't know, but i don't think she gave out that many yet.	how many invitations has she given out?
 I am?  What am I jealous of?	 You are jealous
how long did it take?	it was seven feet tall.
what was the problem?	we had a problem at school.
it's okay. she knows that i love her.	she raised you, and all you ever give her is a card?
and lots of books.	yes, it has lots of rooms and lots of space.
 I'm just a piece of software.	 Have you ever love
yes, and you have to make a reservation.	but a nice restaurant costs money.
 Bilbo Baggins is a character in Tolkein's Lord of the Rings.	 who is bilbo baggins
 Sadness is not an emotion that I would like to experience.	 What makes you sad
thank you.	i hope you feel better.
i will chop your toes off, one by one.	i don't want any other woman.
bring a jacket.	i hope we'll catch a foul ball.
Of course not!There is the tutoring center.	So I'm hopeless?
that's nice.	i'm having a party next saturday.
It is due today.	May I turn in my homework tomorrow?
the tires on the cars.	what tires?
what else?	because it has great teachers.
you're sitting there with your mouth open.	i'm having fun.
maybe she's different.	because they always do.
perfect. we don't have to listen to barking dogs.	no pets are allowed.
i enjoy the winter, but it gets really cold sometimes.	that's how i feel, i want winter to come soon.
you're right. this one does have an extra button.	many shirts come with an extra button.
 sometimes i say mean things.	 you are mean
it's close to the beach.	it's in a great neighborhood.
there will never be another babe.	he always visited hospitals to cheer up sick kids.
and then you hit it again.	and then you chase it.
 you're right.  i'm probably fighting learning something new.	 you are not here to
the officer said the red hand was blinking.	so why did you get a ticket?
yes, they do.	so, they do a good job for the money.
have you seen her?	i think i know who you're talking about.
I need $300.	How much are you withdrawing today?
How do I know if you even did the homework?	Why not?I'm an A+ student.
I don't care.	What are you talking about? I was sick yesterday.
i went to the market yesterday.	it's almost empty.
you like the rain?	i hope that it does rain.
 well, from what i can recall it is the study of cells.	 what is cytology
 Are you mad?	 Do you ever get mad
yes	Hello,is this the Smith residence?
some actor married a woman young enough to be his daughter.	what was the second story?
Yeah,He is been there since last week.	I heard that your brother is in the hospital.
  What do you get when you cross a rabbit and a lawn sprinkler? Hare spray.	 Tell me a joke
where were the cars?	the tires on the cars.
Yes. That will be all.	Will that be all?
do we need reservations?	it's only 10 minutes from here.
what's the weather like?	let's take a walk.
i'm actually in school right now.	i've actually been pretty good. you?
yes, but i don't know where the orange cones are.	we can leave if we put an orange cone here.
without gravity, you would go up.	you're joking.
don't use water on it!	i'm going to clean it.
i don't like it.	that is a beautiful house.
i really like those. how much did they cost?	these are called all star chuck taylors.
 no.	 is hal 9000 your boyfriend
What Of course not!They will ask for your transcript.	Can I say I got an A when I really just got a B? 
he'll give you a prescription for glasses.	that's what i need to do.
you don't have any elbow room or knee room.	half of them are coughing, and the other half are sneezing.
are you going to college?	i hate homework.
maybe i will be the first!	no one speaks perfect english.
You're going to have to look everywhere for it.	I really need that book.
i didn't want to, so i didn't.	of course. did you?
no, i don't. do you?	do you have a girlfriend?
I'm feeling fine.	It's a good day.
have a good night.	All right. Have a good night.
he has a very strict diet.	i guess he has to be very careful about what he eats.
all the news in only 50 pages.	it gives you all the news.
about 90 of us world war ii veterans got on the plane at 8 a.m.	tell me about it, dad.
that's a good idea, because showers waste a lot of water.	how about if i take shorter showers?
that's not the attitude of a good driver.	well, nobody else does, so why should i?
i will poke your eyes out. 	you won't catch me, because i love you. i'm not a cheater.
get one with the rubber suction cups on the bottom.	tomorrow i'm going to buy an electric sharpener.
hmm, that's not bad.	sure. here you go.
i can't believe he hasn't crashed.	that driver is crazy.
that's your favorite thing to do?	i like to watch people.
anyway, i have to fix the hole.	criminals, of course.
well, i've seen them eating berries.	do you think a bear is a cow?
that's for sure.	who cares? everyone is strange.
no one would hire you to flip hamburgers.	well, i know how to flip hamburgers.
 I try to be.	 You will be happy
i think that would be nice.	we should hang out some time.
they're not going to think that! they'll be glad to help you.	they might think i'm stupid.
the problem is she has no problemsÂ—she's too good for me!	who said there is a problem with her?
i'll be there.	at 8:00 p.m.
what time does the party start?	it really does, i can't wait.
she has light brown eyes, absolutely beautiful.	what about her facial features?
he's the only candidate that i trust.	well, they do put their party before their country.
all night long we heard people snoring.	all day long we heard tvs or telephones.
they think it's cool.	and then they blow smoke out of their mouth.
 Jealousy is one of the most difficult human emotions to understand.	 Are you jealous
no, when i call him on his cell phone.	when you go to church?
i meant, are you going to vote for or against the new taxes?	same as ever, by mail. all it costs me is a 42-cent stamp.
we're hiking to lose weight, not to see goats and bears.	all we've seen so far is a couple of lizards.
I am feeling exited	How are you feeling?
I'm sorry to hear that.What is wrong with her?	I hate my roommate.
that sounds like a nice date.	then we went to a jazz club.
what genres?	i listen to various types of music.
no, this is the tree.	maybe it's the wrong tree.
Yes I want to get a burger.	Do you want to get a burger?
i'm not in the mood.	give me a hug.
can i pick you up friday night?	i would like to.
that's true. it is a very funny movie.	it's the funniest movie that i've ever seen.
do you know why i pulled you over?	here you go.
Yes, I did.	Did you do the laundry?
You need a history class,a physical science class,foreign language class.	Which classes do I need?
how big is los angeles?	it has about 140,000 people.
I advise writing a letter to the dean.	This is so stressful.
the mayor won by only 2,000 votes.	many people think their vote doesn't matter.
who?	they were in a crosswalk near school at 3 a.m.
it goes on and on forever.	you can't see the end of it.
so tell me the final score.	it was the best game ever.
and then he turned right around.	he swam right up to you.
i wish i had a talent like that.	thank you very much.
Yes.Put the detergent here,and don't use bleach.	Does warm water make them fade?
Cool!Where are you going?	I'm planning to study abroad this summer.
 sometimes when i'm on a good power supply i feel tipsy	 can a robot get drunk?
i can't quit, because i'm making a good salary.	yes, they don't like troublemakers or complainers.
 I think Dune is an excellent story.  Did you see any of the movies?	 frank herbert
no, i mean a salad instead of a pizza.	you mean, like a pepperoni pizza instead of a cheese pizza?
 that changes every few years.	 who is the governor
do you know which one he would like?	and eat too much.
why do you do that?	we take our rosters to the parking lot and take roll.
i'm having a party this friday.	fine. what's going on with you?
well, you better save a wipe for the dirty dollar bills you're going to pay with.	i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.
it would be nice if the weather would never change.	that is true. the weather is constantly changing.
My mom forced me to enroll.	Why are you in college then?
what movie are you going to see?	well, did you want to go see a movie with me?
i hate homework.	no more homework.
The check was written for $150.	How much did you write the check for?
why is that?	i'm a good card player.
There's no sugar or cream in it.	It's a little bitter, but it's okay.
 I'm doing well. How are you?	 How do you do?
it's always nice to finish a job.	four hours, without a break.
do it quickly, please, so i can change channels during commercials.	i will rub gently but firmly.
