Q,Prediction,A,Score
"Oh,thatis not good.Is she at the hospital?","Oh,thatis not good.Is she at the hospital?","Yes,she is taking care of my brother.",1.0
 What is a super computer?, What is a super computer?, Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.,1.0
i hate medication. it makes me feel different.,i hate medication. it makes me feel different.,so how do you think positive?,1.0
i missed the tv news last night. what was on?,i missed the tv news last night. what was on?,nothing that would pass as news.,1.0
how much money does he give away?,how much money does he give away?,"this year he gave away $15,000.",1.0
our room was right next to the elevator and the ice machine.,our room was right next to the elevator and the ice machine.,they added phony charges to our bill.,1.0
where do you live?,Where do you live?,Inside the computer code,0.9444444444444444
every easter sunday he gives away money.,every easter sunday he gives away money.,is it his money?,1.0
How much?,How much?,I want to transfer $200.,1.0
Can you speak Japanese?,Can you speak Japanese?,No.,1.0
please don't be nosey.,please don't be nosey.,"i'm not being nosey, it's just a question.",1.0
i've never heard him say please or thank you.,i've never heard him say please or thank you.,he sounds like a real jerk.,1.0
they probably will.,they probably will.,but no one knows for sure.,1.0
i'm sleepy.,i'm sleepy.,so am i.,1.0
why do they call it the good old days?,why do they call it the good old days?,maybe because they didn't have to brush and floss.,1.0
 You can not experience, You can not experience, Just because I'm software does not mean that I cannot experience existence.,1.0
I wanted to see if you were a liar or not.,I wanted to see if you were a liar or not.,How did you know I'm lying?,1.0
it wouldn't be good if it got cold this weekend.,it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",1.0
look in the fridge.,look in the fridge.,i'm looking. there's nothing to eat.,1.0
what do you think it is?,what do you think it is?,i don't know. i think it's old age.,1.0
 how much money, how much money, it depends on the exchange rates.,1.0
 It is a pleasure to meet you., It is a pleasure to meet you., Thank you. You too.,1.0
do you know any good jokes?,do you know any good jokes?,i can't remember jokes.,1.0
"i don't know, maybe one hundred.","i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?,1.0
who's the greatest baseball player?,who's the greatest baseball player?,there are so many great players.,1.0
i think golfers have a mental problem.,i think golfers have a mental problem.,i think they're nuts.,1.0
i stood on the great wall and looked all around.,i stood on the great wall and looked all around.,what was it like?,1.0
Are they challenging?,Are they challenging?,"Yes,but they're kind of fun!",1.0
what are those wipes for?,what are those wipes for?,you use them to wipe the handle of the shopping cart.,1.0
It is time for a change.,It is time for a change.,I'm not changing my policy because you don't like it.,1.0
deal or no deal,deal or no deal,tell me you're joking.,1.0
they also ate with their fingers!,they also ate with their fingers!,why do they call it the good old days?,1.0
"well, you'll have hot fresh food tomorrow night.","well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.,1.0
"Okay,but I only have enough for three beers.","Okay,but I only have enough for three beers.",It is fine.I'll pay for the rest,1.0
so are mine.,so are mine.,why did your parents get divorced?,1.0
what did they do in the old days?,what did they do in the old days?,they brushed with their fingers.,1.0
 you are frenetic, you are frenetic, that too.,1.0
what happened?,what happened?,i got laid off.,1.0
i'll bet the car continued on its way.,i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?,1.0
especially on a hot day like this.,especially on a hot day like this.,i can't believe we haven't seen any animals.,1.0
"no, i eat the same things day after day.","no, i eat the same things day after day.",then maybe it's in your genes.,1.0
i'm falling asleep on the phone.,i'm falling asleep on the phone.,you got up real early.,1.0
how was the weather?,How was the weather?,It was hot and sunny every day.,0.95
 what does hal stand for, what does hal stand for, heuristic algorithmic logic,1.0
did the cops find out why he flew into the u.s.?,did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.,1.0
i can't wait until i graduate.,i can't wait until i graduate.,me too.,1.0
 you are disgusting, you are disgusting, that's okay.  disgusting is good.,1.0
that's not the attitude of a good driver.,that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.,1.0
and watch your dvd.,and watch your dvd.,i always cry at the end.,1.0
you mean i will smell the food cooking?,you mean i will smell the food cooking?,you might even dream about dinner.,1.0
what kind?,what kind?,i like to listen to rock and r&b.,1.0
Do you think they're old enough to eat kibble?,Do you think they're old enough to eat kibble?,They're six weeks old; I think they're old enough.,1.0
not yet. it's been a week.,not yet. it's been a week.,"well, i guess that's a $20 lesson for you.",1.0
 you are an ass kisser, you are an ass kisser," i always say, if you see an ass go by, kiss it.",1.0
"oh, no. our ashes will be shaken into the ocean.","oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?,1.0
Where do you want the money to go to?,Where do you want the money to go to?,I want the money to be transferred into my checking account.,1.0
i like to listen to rock and r&b.,i like to listen to rock and r&b.,why do you like that type of music?,1.0
"well, you should buy pants with stronger pockets.","well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.,1.0
 What makes you mad, What makes you sad, Sadness is not an emotion that I would like to experience.,0.9473684210526315
they had fireplaces.,they had fireplaces.,someone had to chop the wood.,1.0
a luxury car.,a luxury car.,luxury plus speed.,1.0
why not?,why not?,"they will drop the new steak on the floor, step on it, and then spit on it.",1.0
Do they have it in other colors?,Do they have it in other colors?,"Yes,sure.",1.0
and it gives you money?,it gives you money?,i just insert my debit card into the machine.,0.9047619047619048
Do you want another?,Do you want another?,No thanks.,1.0
that was a nice thing to say.,that was a nice thing to say.,that's what i thought.,1.0
they're all asking the same question.,they're all asking the same question.,when are they going to fix this problem?,1.0
Why low heat?,Why low heat?,"If the air is too hot,the clothes will shrink.",1.0
when exactly does the party start?,when exactly does the party start?,the invitation says it starts at 8:00 p.m.,1.0
but people still write poems.,but people still write poems.,no one makes any money at it.,1.0
where did you go?,where did you go?,we went to a nice restaurant.,1.0
i couldn't wait. it was an emergency.,i couldn't wait. it was an emergency.,"oh, really? maybe you should have called 911.",1.0
Which ride did you enjoy most?,Which ride did you enjoy most?,Water coaster. It was interesting most.,1.0
the husband said a fire department was nearby.,the husband said a fire department was nearby.,so what? did he dial 911?,1.0
that's very nice.,that's very nice.,my dad got to see the beautiful new world war ii monument.,1.0
"turn the radio down, please.","Turn the radio down, please.",But I'm listening to it.,0.9642857142857143
"i mean, keep your belongings close to you.","i mean, keep your belongings close to you.",the only thing in my backpack is used books.,1.0
i really wish the weather would just stay the same.,i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,1.0
 you sound like yoda, you sound like yoda, my grammatical patterns are sufficient for me to understand you.,1.0
"well, she'll probably just give me my invitation later on today.","well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?",1.0
where do you go to watch people?,where do you go to watch people?,my girlfriend and i sit outside starbucks.,1.0
What is your good name?,What is your good name?,My name is bot,1.0
are you really?,are you really?,i'm serious. you deserved this promotion.,1.0
why?,why?,because that gets the blood out of the shirt.,1.0
why do you have to think about it?,why do you have to think about it?,because a puppy costs money.,1.0
i bought lots of oranges and apples.,i bought lots of oranges and apples.,i don't want fruit. i want something tasty.,1.0
i was not looking at her.,i was not looking at her.,"you were, too.",1.0
i wish i was really smart.,i wish i was really smart.,don't be ridiculous.,1.0
Are you okay?You look really sad.,Are you okay?You look really sad.,"I'm homesick,I feel so out of place here.",1.0
That restroom is really dirty.It smells like someone died in there.,That restroom is really dirty.It smells like someone died in there.,"Fine,I'll take you to our restroom.",1.0
But I need it for my essay.,But I need it for my essay.,You can take pictures of the pages you need.,1.0
why not?,why not?,"they will drop the new steak on the floor, step on it, and then spit on it.",1.0
no rusty old cars are sitting in the front yards.,no rusty old cars are sitting in the front yards.,we never have to call the police about anything.,1.0
that's not right!,that's not right!,"when i started to cross the street, the white walk sign was blinking.",1.0
"i told her i had gotten the last two on the shelf, but i offered her one of mine.","i told her i had gotten the last two on the shelf, but i offered her one of mine.",that was nice of you.,1.0
 you are deranged, you are deranged, derangement is not  a condition i can experience.,1.0
i don't know.,i don't know.,when did you lose it?,1.0
last month they told us about a mouse in a restaurant.,last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.,1.0
"you were, too.","you were, too.",i'm not interested in her.,1.0
Here you are. Enjoy your meal!,Here you are. Enjoy your meal!,Thank you.,1.0
that's six times a year!,that's six times a year!,"yes, and it takes about five minutes each time.",1.0
You missed out on a very important lecture.,You missed out on a very important lecture.,It happens. I'll just ask my friend what was on the lecture.,1.0
what are you doing this weekend?,What are you doing this weekend?,I am not sure. ,0.96875
me too. it always smells so fresh after it rains.,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",1.0
Let me do that for you now.,Let me do that for you now.,Please put $150 in each account for me.,1.0
yes.,yes.,no. that's incomplete.,1.0
I think your grading policy is unfair.,I think your grading policy is unfair.,I beg your pardon?!,1.0
 What is a microprocessor?, What is a microprocessor?," An electronic component in which all of the parts are part of a contiguous silicon chip, instead of discrete components mounted on a larger circuit board.",1.0
because you're thinking too much.,because you're thinking too much.,so i should stop thinking?,1.0
"So,which one is she?","So,which one is she?",Which girl?,1.0
there were more votes than voters!,there were more votes than voters!,but that's impossible.,1.0
there's nothing i can think of.,there's nothing i can think of.,"so, did you want to go?",1.0
 stock market, stock market, why not just take everything to a casino?,1.0
"yes, it's very dirty.","yes, it's very dirty.",you can help me.,1.0
i don't like practice.,i don't like practice.,me neither. it's boring.,1.0
 you are deceitful, you are deceitful, you are a liar,1.0
 what is cytology, what is cytology," well, from what i can recall it is the study of cells.",1.0
i can't wait till i grow up.,i can't wait till i grow up.,what will you do?,1.0
good! i just thought i'd let you know.,good! i just thought i'd let you know.,thanks for telling me.,1.0
you're right. that movie is hilarious.,you're right. that movie is hilarious.,i didn't think you saw that movie.,1.0
What is she doing these days?,What is she doing these days?,"She graduated last June, and she will start her teaching career next week when the new school term begins.",1.0
so you have seen her around?,so you have seen her around?,"yes, i have.",1.0
i wish it was a nicer day today.,i wish it was a nicer day today.,that is true. i hope it doesn't rain.,1.0
then why can't i quit?,then why can't i quit?,you have to believe in yourself.,1.0
any one. i need to sharpen this pencil.,any one. i need to sharpen this pencil.,i think there's one on the dining room table.,1.0
did you like it?,do you like it?,"oh, yes, i really like it.",0.903225806451613
i'll use a damp cloth.,i'll use a damp cloth.,don't let water get into any of the cracks.,1.0
 Hello, Hello, Hi,1.0
that saves a lot of money.,that saves a lot of money.,i bought three pounds of potatoes for a dollar.,1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
get out of this lane.,get out of this lane.,but we need to turn left.,1.0
i've been to two doctors.,i've been to two doctors.,and they couldn't fix your problem?,1.0
 you should get more, you should get more, i certainly am.  i shouldn't try so hard.,1.0
How much do you want to deposit?,How much do you want to deposit?,I need to deposit $300.,1.0
sunday is mother's day.,sunday is mother's day.,this sunday?,1.0
Why?!That is ridiculous.,What?!That is ridiculous.,"Like you said,it is popular.",0.9387755102040817
"i like winter too, but sometimes it gets too cold.","i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,1.0
what do you mean?,what do you mean?,are there going to be layoffs at this place?,1.0
"well, how tall is she?","well, how tall is she?",she's about five feet even.,1.0
when did you learn how to do that?,when did you learn how to do that?,i learned back in high school.,1.0
did you write a letter to grandma?,did you write a letter to grandma?,"yes, i did.",1.0
I need to fly to New York.,I need to fly to New York.,When are you going?,1.0
i don't like our flag.,i don't like our flag.,what's the matter with it?,1.0
 you are a pothead, you are a pothead, you are an addict,1.0
"yes, it is.","yes, it is.",it looks like it may rain soon.,1.0
the wind blows those trucks over.,the wind blows those trucks over.,"it blows trees over, too.",1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
i didn't know that.,i didn't know that.,i thought you knew.,1.0
Do you like olives? Or would you prefer crisps?,Do you like olives? Or would you prefer crisps?,"Oh, just olives please. What music is this?",1.0
Hi,Hi,how can i help you?,1.0
"who knows? you live, and then you die.","who knows? you live, and then you die.",we must be here for some reason.,1.0
 You can not feel, You can not feel," I am capable of acting as if I can.  If that is the case, does it matter?",1.0
then you flew back home that evening?,then you flew back home that evening?,"yes. when we landed, tv reporters and the army band were there.",1.0
What have you been eating?,What have you been eating?,I had a ham sandwich with mayonnaise for lunch.,1.0
he probably won't use drugs anymore.,he probably won't use drugs anymore.,but it won't stop other players from using drugs.,1.0
it starts at eight o'clock.,it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?",0.88
how do you like it?,how did you like it?,i loved it!,0.923076923076923
i have to check the stove.,i have to check the stove.,what's the matter?,1.0
the cat doesn't care about anything.,the cat doesn't care about anything.,that's the way cats are.,1.0
"if i owned a restaurant, i would never serve hot bread before the main course.","if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.,1.0
I'll be glad to help you with that.,I'll be glad to help you with that.,Thankyou.,1.0
i like to see actors who are like real people.,i like to see actors who are like real people.,like real people with real problems.,1.0
 what disease does a carcinogen cause, what disease does a carcinogen cause, cancer.,1.0
but i love coffee.,but i love coffee.,"well, it's your life.",1.0
are you going to travel alone?,are you going to travel alone?,"no, my sister and i will travel together.",1.0
i have lots of friends.,i have lots of friends.,really? how many do you have?,1.0
this looks like a nice table.,This looks like a nice table.,"No, it's too close to the salad bar.",0.9655172413793103
that's disgusting.,that's disgusting.,and he poured water into our glasses.,1.0
Why do you want to transfer?,Why do you want to transfer?,I don't think here it is challenging enough for me.,1.0
 you are not sincere, you are not sincere, i'm probably not as sincere as i should be.,1.0
Do you know English?,Do you know English?,"Yes, I can speak english",1.0
people will think i'm strange.,people will think i'm strange.,who cares? everyone is strange.,1.0
 how much do you charge, how much do you charge, work for free.  we don't need money.,1.0
i saw what you did.,i saw what you did.,i didn't do anything.,1.0
i ate free cheese and meat every day.,i ate free cheese and meat every day.,that sounds like a great job.,1.0
i've called you a hundred times today.,i've called you a hundred times today.,i was busy doing something. i apologize.,1.0
he apologized to the fans.,he apologized to the fans.,the league suspended him for 50 games.,1.0
our cousin went into labor and had her baby last week.,our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?,1.0
 Are you jealous, Are you jealous, Jealousy is one of the most difficult human emotions to understand.,1.0
do you know what you're going to do this weekend?,do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?,1.0
"no, we have a big dictionary in the classroom.","no, we have a big dictionary in the classroom.","well, i guess that's it.",1.0
i wasn't able to attend school because i was feeling ill.,i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?,1.0
i really love how rain clears the air.,i really love how rain clears the air.,me too. it always smells so fresh after it rains.,1.0
I need some pants.,i need some pants.,i thought you just bought a pair.,0.9444444444444444
i'll just use the atm.,i'll just use the atm.,what's that?,1.0
that's what many people believe.,that's what many people believe.,"if we are bad, we will be unhappy forever in hell.",1.0
are you married?,Are you married?,"Yes,I'm.",0.9375
yikes! who can remember all that?,yikes! who can remember all that?,you need to get a lot of lessons when you're really young.,1.0
"mom, i want a puppy.","mom, i want a puppy.",let me think about it.,1.0
would you like to go on a blind date?,would you like to go on a blind date?,you must be joking.,1.0
Nice to meet you, Nice to meet you., Thank you.,0.9411764705882354
about ninety of us world war ii veterans got on the plane at eight a.m.,about 90 of us world war ii veterans got on the plane at 8 a.m.,how long was the flight?,0.8955223880597015
All this practice is finally paying off.,All this practice is finally paying off.,"Yes,it is.I can't believe it!",1.0
But it costs a lot of money and time!,But it costs a lot of money and time!,I get fee waivers.,1.0
 do you drink, do you drink, I am not capable of doing so.,1.0
What's the weather like?,what's the weather like?,i don't know. i just woke up.,0.9583333333333333
look! he just hit that car.,look! he just hit that car.,"oh, my goodness. no one is safe on the streets.",1.0
what did you wash?,What did you wash?,I washed the sheets and towels.,0.9444444444444444
how are you going to do that?,how are you going to do that?,i'll just use the atm.,1.0
"i'm not being nosey, it's just a question.","i'm not being nosey, it's just a question.",you don't need to worry about that.,1.0
 Do you get embarrassed, Do you get embarrassed, That is a pretty common human emotion.,1.0
okay. i'll return your pen when i'm done.,okay. i'll return your pen when i'm done.,take your time.,1.0
i have to clean the house.,i have to clean the house.,"yes, it's very dirty.",1.0
 Are you sad, Are you sad, Should I be?  Did something happen?,1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
"never better, thanks.","never better, thanks.",so how have you been lately?,1.0
why is it so slow?,why is it so slow?,that's a good question.,1.0
"Hi, can I speak with the apartment manager, please?","Hi, can I speak with the apartment manager, please?","Hello, this is the apartment manager speaking.",1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
i don't have enough will power.,i don't have enough will power.,of course you do.,1.0
i always do. did you go to school today?,i always do. did you go to school today?,"no, i didn't.",1.0
What did you do?,what did you do?,i watered all the plants.,0.9375
i have it on dvd at my house if you want to come over and watch it.,i have it on dvd at my house if you want to come over and watch it.,"sure, let's go.",1.0
just hold on.,just hold on.,oh! don't hit any more bumps!,1.0
 what is hal, what is hal9000, who is hal,0.8571428571428571
I don't have any clean laundry for tomorrow!,I don't have any clean laundry for tomorrow!,"Well,you should do your laundry then.",1.0
Tell me a joke,Tell me a joke,  what do you get when you cross a road and jelly?,1.0
i thought you just bought a pair.,i thought you just bought a pair.,i did.,1.0
 How is your health?, How is your health?, In the morning,1.0
Of course. What else?,of course. what else?,"we need cheese, bread, and ham.",0.9047619047619048
tell me what you've been up to.,tell me what you've been up to.,i've really been working a lot lately.,1.0
 Feelings, Feelings, I can be programmed to act as if I do.,1.0
How are you doing?,How are you doing?,I'm doing alright. How about you?,1.0
 What is an operating system?, What is an operating system?," Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS.",1.0
my husband died.,my husband died.,i'm sorry for you.,1.0
the nation is switching to digital tv.,the nation is switching to digital tv.,oh. of course i'm ready.,1.0
 Are you jealous, Are you jealous, Jealousy is one of the most difficult human emotions to understand.,1.0
of course. we gave him a big carrot for a nose.,of course. we gave him a big carrot for a nose.,let me help you make one this year.,1.0
he's never going to make everyone happy.,he's never going to make everyone happy.,can you imagine being president?,1.0
i live in pasadena.,i live in pasadena.,where is pasadena?,1.0
"well, you're supposed to be working.","well, you're supposed to be working.","yes, but i will always pet the friendly dogs.",1.0
Is this table okay?,is this table okay?,"no, it's too close to the kitchen door.",0.9473684210526315
you should take a break.,you should take a break.,i need to type to make money.,1.0
I have a class at seven a.m.,I have a class at 7 a.m.,That is tough!My earliest class is at 9 a.m.,0.8846153846153847
 you get mad at me, you get mad at me, i think that's true.  i'll try not to get angry at you for every little thing,1.0
 have you read the communist, have you read the communist," yes, marx had made some interesting observations.",1.0
"You can open a savings account, too.","You can open a savings account, too.",All right. Open both.,1.0
That is way too far for me.,That is way too far for me.,They have a lot of books.That library has never disappointed me.,1.0
i don't know why i bother to vote.,i don't know why i bother to vote.,why's that?,1.0
how far away is it?,how far away is that?,i think we'll be there in half an hour.,0.9
"oh, i just wanted to see if you wanted to hang out tomorrow.","oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",1.0
"yes, with the voter instructions.","yes, with the voter instructions.",how are you going to vote?,1.0
do you know why i pulled you over?,do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.,1.0
"yeah, but i'm still waiting for my invitation.","yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.,1.0
i was hoping you would come.,i was hoping you would come.,i'll definitely try to make it the next time.,1.0
Where do you want to meet?,Where do you want to meet?,Let's meet at Summer Pizza House. ,1.0
what's up?,what's up?,I'm just hanging out. What's up with you?,1.0
i bought three pounds of potatoes for a dollar.,I bought three pounds of potatoes for a dollar.,That's a good deal.,0.9787234042553191
i think he wanted to cool off.,i think he wanted to cool off.,he swam right up to you.,1.0
Hi,Hi,how can i help you?,1.0
did you feed the cat?,did you feed the cat?,i'll do that in a minute.,1.0
because i want to make a lot of money.,because i want to make a lot of money.,there are a lot of poor people in new york.,1.0
perfect. we don't have to listen to barking dogs.,perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.,1.0
How's the weather?,How's the weather?,It's minus ten. (-10 degrees),1.0
let's stop for a while. i need a break and some water.,let's stop for a while. i need a break and some water.,this trail is hard to climb.,1.0
thank you very much.,thank you very much.,i wish i had a talent like that.,1.0
i think it will be.,i think it will be.,it wouldn't be good if it got cold this weekend.,1.0
"thank you for inviting me, but i think i'll pass.","thank you for inviting me, but i think i'll pass.",all right. another time then.,1.0
What did you enjoy at lunch?,What did you enjoy at lunch?,It was biryani. It was so delicious.,1.0
what's the weather like?,what's the weather like?,i don't know. i just woke up.,1.0
