I.D.,Question
QN_196,what are you doing this weekend?
QN_197,me too. it always smells so fresh after it rains.
QN_198,Let me do that for you now.
QN_199,yes.
QN_200,I think your grading policy is unfair.
QN_201, What is a microprocessor?
QN_202,because you're thinking too much.
QN_203,"So,which one is she?"
QN_204,there were more votes than voters!
QN_205,there's nothing i can think of.
QN_206, stock market
QN_207,"yes, it's very dirty."
QN_208,i don't like practice.
QN_209, you are deceitful
QN_210, what is cytology
QN_211,i can't wait till i grow up.
QN_212,good! i just thought i'd let you know.
QN_213,you're right. that movie is hilarious.
QN_214,What is she doing these days?
QN_215,so you have seen her around?
QN_216,i wish it was a nicer day today.
QN_217,then why can't i quit?
QN_218,any one. i need to sharpen this pencil.
QN_219,did you like it?
QN_220,i'll use a damp cloth.
QN_221, Hello
QN_222,that saves a lot of money.
QN_223,Tell me a joke
QN_224,get out of this lane.
QN_225,i've been to two doctors.
QN_226, you should get more
QN_227,How much do you want to deposit?
QN_228,sunday is mother's day.
QN_229,Why?!That is ridiculous.
QN_230,"i like winter too, but sometimes it gets too cold."
QN_231,what do you mean?
QN_232,"well, how tall is she?"
QN_233,when did you learn how to do that?
QN_234,did you write a letter to grandma?
QN_235,I need to fly to New York.
QN_236,i don't like our flag.
QN_237, you are a pothead
QN_238,"yes, it is."
QN_239,the wind blows those trucks over.
QN_240,Tell me a joke
QN_241,i didn't know that.
QN_242,Do you like olives? Or would you prefer crisps?
QN_243,Hi
QN_244,"who knows? you live, and then you die."
QN_245, You can not feel
QN_246,then you flew back home that evening?
QN_247,What have you been eating?
QN_248,he probably won't use drugs anymore.
QN_249,it starts at eight o'clock.
QN_250,how do you like it?
QN_251,i have to check the stove.
QN_252,the cat doesn't care about anything.
QN_253,"if i owned a restaurant, i would never serve hot bread before the main course."
QN_254,I'll be glad to help you with that.
QN_255,i like to see actors who are like real people.
QN_256, what disease does a carcinogen cause
QN_257,but i love coffee.
QN_258,are you going to travel alone?
QN_259,i have lots of friends.
QN_260,this looks like a nice table.
QN_261,that's disgusting.
QN_262,Why do you want to transfer?
QN_263, you are not sincere
QN_264,Do you know English?
QN_265,people will think i'm strange.
QN_266, how much do you charge
QN_267,i saw what you did.
QN_268,i ate free cheese and meat every day.
QN_269,i've called you a hundred times today.
QN_270,he apologized to the fans.
QN_271,our cousin went into labor and had her baby last week.
QN_272, Are you jealous
QN_273,do you know what you're going to do this weekend?
QN_274,"no, we have a big dictionary in the classroom."
QN_275,i wasn't able to attend school because i was feeling ill.
QN_276,i really love how rain clears the air.
QN_277,I need some pants.
QN_278,i'll just use the atm.
QN_279,that's what many people believe.
QN_280,are you married?
QN_281,yikes! who can remember all that?
QN_282,"mom, i want a puppy."
QN_283,would you like to go on a blind date?
QN_284,Nice to meet you
QN_285,about ninety of us world war ii veterans got on the plane at eight a.m.
QN_286,All this practice is finally paying off.
QN_287,But it costs a lot of money and time!
QN_288, do you drink
QN_289,What's the weather like?
QN_290,look! he just hit that car.
QN_291,what did you wash?
QN_292,how are you going to do that?
QN_293,"i'm not being nosey, it's just a question."
QN_294, Do you get embarrassed
QN_295,okay. i'll return your pen when i'm done.
QN_296,i have to clean the house.
QN_297, Are you sad
QN_298,Tell me a joke
QN_299,"never better, thanks."
QN_300,why is it so slow?
QN_301,"Hi, can I speak with the apartment manager, please?"
QN_302,Tell me a joke
QN_303,i don't have enough will power.
QN_304,i always do. did you go to school today?
QN_305,What did you do?
QN_306,i have it on dvd at my house if you want to come over and watch it.
QN_307,just hold on.
QN_308, what is hal
QN_309,I don't have any clean laundry for tomorrow!
QN_310,Tell me a joke
QN_311,i thought you just bought a pair.
QN_312, How is your health?
QN_313,Of course. What else?
QN_314,tell me what you've been up to.
QN_315, Feelings
QN_316,How are you doing?
QN_317, What is an operating system?
QN_318,my husband died.
QN_319,the nation is switching to digital tv.
QN_320, Are you jealous
QN_321,of course. we gave him a big carrot for a nose.
QN_322,he's never going to make everyone happy.
QN_323,i live in pasadena.
QN_324,"well, you're supposed to be working."
QN_325,Is this table okay?
QN_326,you should take a break.
QN_327,I have a class at seven a.m.
QN_328, you get mad at me
QN_329, have you read the communist
QN_330,"You can open a savings account, too."
QN_331,That is way too far for me.
QN_332,i don't know why i bother to vote.
QN_333,how far away is it?
QN_334,"oh, i just wanted to see if you wanted to hang out tomorrow."
QN_335,"yes, with the voter instructions."
QN_336,do you know why i pulled you over?
QN_337,"yeah, but i'm still waiting for my invitation."
QN_338,i was hoping you would come.
QN_339,Where do you want to meet?
QN_340,what's up?
QN_341,i bought three pounds of potatoes for a dollar.
QN_342,i think he wanted to cool off.
QN_343,Hi
QN_344,did you feed the cat?
QN_345,because i want to make a lot of money.
QN_346,perfect. we don't have to listen to barking dogs.
QN_347,How's the weather?
QN_348,let's stop for a while. i need a break and some water.
QN_349,thank you very much.
QN_350,i think it will be.
QN_351,"thank you for inviting me, but i think i'll pass."
QN_352,What did you enjoy at lunch?
QN_353,what's the weather like?
QN_354,people talk about current events.
QN_355,our team played hard and won.
QN_356, what is bacteriology
QN_357,how much is it?
QN_358,have you taken anything for your cold?
QN_359,mi stands for middle initial.
QN_360,are you going to wash it yourself?
QN_361, How angry
QN_362, You are never nice
QN_363,will you look at this form?
QN_364, Are you amused
QN_365,"boy, i'm glad that job is finished."
QN_366,I have to tell you something.
QN_367,then you can wipe your seat and window.
QN_368,all the radios will be on extra loud.
QN_369,i haven't lately.
QN_370,thank you. i just got these shoes today.
QN_371,ha! we're not funny-looking; animals are funny-looking.
QN_372,What are you doing?
QN_373,i don't like my job.
QN_374,of course! people everywhere like good jokes.
QN_375,debrah already had her baby.
QN_376,you can watch tv after you do your homework.
QN_377,How do you like your major?
QN_378,do you want me to wake you in an hour?
QN_379,how much was that?
QN_380,some actor married a woman young enough to be his daughter.
QN_381,what's so good about it?
QN_382,do you have a digital tv?
QN_383,What are your views on Donald Trump as the America's President?
QN_384,i watered all the plants.
QN_385,Are you making the worst decision of your life?
QN_386, I am afraid
QN_387,that's too bad. how much is a new one?
QN_388,"no, it isn't. a flat costs you time and money."
QN_389,it's close to the mountains.
QN_390,"well, that should get you something."
QN_391,i bet i've lost a couple of pounds already.
QN_392,we have a two o'clock appointment to see the one on main street.
QN_393,teaching is the best part of my whole day.
QN_394,we get a free breakfast.
QN_395,how did you like it?
QN_396,it sure isn't.
QN_397, frank herbert
QN_398,are you planning on cooking it?
QN_399,will it be good beach weather?
QN_400,How are things with you?
QN_401,so what's the problem?
QN_402,"well, you'd better get her something."
QN_403,it isn't easy to see.
QN_404,i told her that school is fun.
QN_405,what did she say?
QN_406, i do not like guns
QN_407,"if we don't buy it, someone else will."
QN_408,i hope they fit.
QN_409,the car isn't here.
QN_410,i've enjoyed conversing with you.
QN_411,"That is not a challenge,that is a punishment."
QN_412,thank goodness! i don't want to see any wild animals.
QN_413,"well, it's your life."
QN_414,You can try taking it at another college.
QN_415,i'm sorry. i'm already doing something this friday.
QN_416,have you heard what happened?
QN_417,Would you like something to drink?
QN_418,"It sure is, but I'm going to call HP first, just to make sure."
QN_419,Hello 
QN_420, Are you sad
QN_421,so do i.
QN_422,"yes, it was pleasant."
QN_423," Hi, How is it going?"
QN_424,Are you sure?
QN_425, Tell me about your dreams
QN_426,thank you.
QN_427, arthur c clark
QN_428,sometimes i want to throw it out the window.
QN_429,she has pretty light brown eyes.
QN_430,are there any hobbies you do?
QN_431,i had to bring work home with me.
QN_432,not me. i want to play for the dodgers.
QN_433,ha! you can't win if you do play.
QN_434,i love my computer.
QN_435,How was it?
QN_436,but they can just knock on the door.
QN_437,How may I help you?
QN_438,i'm going to change the light bulb. it burnt out.
QN_439,"no, i don't. do you?"
QN_440, what is wavelength
QN_441,i wouldn't do that.
QN_442,of course i do. but not on our flag!
QN_443,boiled? i never heard of that.
QN_444,"me, too. school was fun."
QN_445,i will talk to your father about that.
QN_446,"yes, we do."
QN_447,anything else?
QN_448,tell me when you finish.
QN_449,i vacuumed the entire house.
QN_450,i got them for forty.
QN_451,Could I help you on your new project?
QN_452,the one that tiger won?
QN_453,Is there a problem?
QN_454,i think i'll make a sandwich.
QN_455,"Did you see ""Titanic""?"
QN_456,"yes, it was love at first sight."
QN_457,"it's a little bitter, but it's okay."
QN_458,"yes, i do."
QN_459,i need to withdraw some money.
QN_460,i went to macy's and picked it out.
QN_461,Thank you for your kindness.
QN_462,what's wrong with the bed?
QN_463, Do you ever get angry
QN_464,i especially love the night air when it rains.
QN_465,who makes up all these jokes?
QN_466,me neither.
QN_467,You should also open a savings account.
QN_468,doesn't that get old?
QN_469,what do you mean?
QN_470,are they comfortable?
QN_471,what should our flag look like?
QN_472,the people are friendly.
QN_473,Is there any rice?
QN_474,I don't know which class to register for.
QN_475,that's a lot of work.
QN_476,It is really close to an A.
QN_477,let's go to your home.
QN_478,we have to find a cheaper house.
QN_479,female singers are supposed to be pretty.
QN_480,i'm just yawning because the commercials are on.
QN_481, Does it make you sad
QN_482,i don't have even one dollar in it.
QN_483,Everything is going wrong today.
QN_484,bring me a better steak.
QN_485,hold your breath till we get there.
QN_486,i got laid off last week.
QN_487, Feelings
QN_488,Why don't you borrow them for me?
QN_489,did you put the blue bin out on the street?
QN_490,Now what do I do?
QN_491,"oh great, we could both work at burger king."
QN_492,Put yourself in my shoes.
QN_493,not if we save every penny.
QN_494,You read his recommendation letter?
QN_495,"i would really appreciate that, thanks."
QN_496,i'll just take it out to the street tomorrow morning.
QN_497,is it beautiful?
QN_498,"yes, cheese is nice."
QN_499,What is the matter ?
QN_500,i want to be a baseball player when i grow up.
QN_501,i think he is from outer space.
QN_502,then i did my laundry.
QN_503,"seriously, it looks really nice on you. where did you buy it from?"
QN_504,I can't afford it.I'm totally broke.
QN_505, Top of the morning to you!
QN_506,how good is your math?
QN_507,i like that shirt.
QN_508,i have a little poodle.
QN_509, guns
QN_510,do you need a pen?
QN_511,i hope i win the lotto.
QN_512,i don't understand why you haven't come to visit me.
QN_513,I never realized.
QN_514, Do you feel pain
QN_515,"yes, old people don't smell like fruit."
QN_516,i was on a plane.
QN_517,Yeah!Just focus on the schools that do want you.
QN_518,i went to the market yesterday.
QN_519,What is your age?
QN_520,it's based on a true story about a divorced man and his young son.
QN_521,of course i will.
QN_522, do androids dream of electric sheep
QN_523,I want sheets without stains on them.
QN_524,"well, hold on a little longer."
QN_525,winter is great. i wish it didn't get so cold sometimes though.
QN_526,it only took about two hours.
QN_527,what do you need for school?
QN_528, what is the illuminatti
QN_529,what does it mean?
QN_530,Don't pull my chain.
QN_531,and there are only six units in the whole building.
QN_532,what is your major?
QN_533, what is the illuminatti
QN_534,which would you prefer?
QN_535,Tell me a joke
QN_536,How much would you like to deposit?
QN_537,the book is open.
QN_538,They're very comfortable.
QN_539,at night i went out to eat. the food was delicious.
QN_540, TELL ME ABOUT BASEBALL
QN_541,"you'll remember to do it, but you won't have time to do it."
QN_542, you are not smart
QN_543,what do you mean?
